UserID,Age,Gender,TotalCoursesEnrolled,AvgSpending,AvgCourseRating,DiversityScore,FirstEnrollDate,LastEnrollDate,PreferredCategory,PreferredLevel,ActiveDays,EnrollmentFrequency,LearningDepthIndex,Cluster,AvgCoursesPerCategory,DistanceToCentroid,SegmentName
U00001,15,Male,1,394.26,1.35,1,2025-11-02,2025-11-02,Cybersecurity,Intermediate,1,1.0,0.0,2,1.0,3.068965459873487,Premium One-Time Buyers
U00002,29,Female,1,0.0,2.88,1,2025-07-15,2025-07-15,Programming,Beginner,1,1.0,0.0,3,1.0,1.818940404367496,Casual Beginners
U00003,33,Female,11,55.81636363636364,2.889090909090909,7,2025-01-13,2025-11-16,Marketing,Advanced,308,0.03571428571428571,0.8,1,1.5714285714285714,2.4495880900677434,Power Learners
U00004,23,Female,13,75.54230769230769,3.4515384615384614,8,2025-01-06,2025-11-23,Digital Marketing,Intermediate,322,0.040372670807453416,0.6,1,1.625,2.1241343794148606,Power Learners
U00005,21,Male,2,173.355,2.0549999999999997,2,2025-09-11,2025-12-03,Programming,Advanced,84,0.023809523809523808,0.5,0,1.0,2.572959817417401,Niche Specialists
U00006,21,Male,1,0.78,3.89,1,2025-11-19,2025-11-19,Machine Learning,Advanced,1,1.0,1.0,0,1.0,2.031374499561344,Niche Specialists
U00007,24,Male,1,0.0,1.91,1,2025-03-08,2025-03-08,Cybersecurity,Intermediate,1,1.0,0.0,3,1.0,2.3340771106449076,Casual Beginners
U00008,33,Female,1,0.0,4.1,1,2025-07-30,2025-07-30,Finance,Intermediate,1,1.0,0.0,3,1.0,1.9533194985213456,Casual Beginners
U00009,20,Female,1,276.37,2.72,1,2025-06-19,2025-06-19,Design,Advanced,1,1.0,1.0,0,1.0,2.3700961765259847,Niche Specialists
U00010,34,Female,2,163.01,3.165,2,2025-08-02,2025-10-01,Artificial Intelligence,Beginner,61,0.03278688524590164,0.0,2,1.0,2.5828775583917767,Premium One-Time Buyers
U00011,15,Female,2,149.785,3.205,2,2025-03-28,2025-09-24,Data Science,Advanced,181,0.011049723756906077,0.5,0,1.0,2.588576529241261,Niche Specialists
U00012,15,Female,2,163.995,1.5150000000000001,2,2025-09-08,2025-09-14,Design,Advanced,7,0.2857142857142857,0.5,0,1.0,2.755987393711603,Niche Specialists
U00013,33,Female,14,102.3092857142857,2.869285714285714,8,2025-01-20,2025-12-22,Machine Learning,Advanced,337,0.04154302670623145,0.8333333333333334,1,1.75,2.1533251798670885,Power Learners
U00014,30,Male,1,0.0,1.81,1,2025-04-11,2025-04-11,Machine Learning,Advanced,1,1.0,1.0,0,1.0,2.1455916572786924,Niche Specialists
U00015,27,Female,14,145.36142857142858,2.7607142857142857,10,2025-01-16,2025-12-22,Artificial Intelligence,Beginner,341,0.04105571847507331,0.375,1,1.4,1.9232100038597257,Power Learners
U00016,32,Male,1,0.0,4.79,1,2025-09-27,2025-09-27,Marketing,Advanced,1,1.0,1.0,0,1.0,2.9339569053498127,Niche Specialists
U00017,24,Male,3,321.06,4.6499999999999995,3,2025-02-02,2025-11-26,Artificial Intelligence,Beginner,298,0.010067114093959731,0.0,2,1.0,2.530711953950345,Premium One-Time Buyers
U00018,24,Female,16,91.751875,3.1081250000000002,9,2025-01-12,2025-12-13,Artificial Intelligence,Beginner,336,0.047619047619047616,0.5,1,1.7777777777777777,1.769099047114814,Power Learners
U00019,24,Female,1,0.0,4.51,1,2025-11-10,2025-11-10,Design,Beginner,1,1.0,0.0,3,1.0,1.7419906666118363,Casual Beginners
U00020,27,Female,1,0.0,2.88,1,2025-07-17,2025-07-17,Programming,Beginner,1,1.0,0.0,3,1.0,1.7377687680092162,Casual Beginners
